Asset,Window,Cutoff,Ann_Return,Sharpe,Win_Rate
日经ETF,30,400,0.13024422265916719,0.7624022978324567,0.4868131868131868
日经ETF,30,500,0.10489151064725473,0.5953861620635658,0.48580786026200873
日经ETF,30,600,0.10489151064725473,0.5953861620635658,0.48580786026200873
日经ETF,30,800,0.10489151064725473,0.5953861620635658,0.48580786026200873
日经ETF,30,1000,0.10489151064725473,0.5953861620635658,0.48580786026200873
日经ETF,30,None,0.10489151064725473,0.5953861620635658,0.48580786026200873
黄金ETF,20,300,0.1560987957060668,1.3850927031227718,0.5405844155844156
黄金ETF,20,400,0.1650654834036155,1.4267537092789462,0.5406275140788415
黄金ETF,20,500,0.16892353452147754,1.4497917311627881,0.5411670663469225
黄金ETF,20,600,0.16209325681929443,1.367514876079637,0.5411013567438149
黄金ETF,20,800,0.16546572801695505,1.3898015659328387,0.5410358565737052
黄金ETF,20,1000,0.16988420726956274,1.4194697215726046,0.5414012738853503
黄金ETF,20,None,0.14718991934405104,1.1243290866021716,0.5399841646872525
黄金ETF,25,300,0.14652374055265305,1.2601925971622627,0.5406275140788415
黄金ETF,25,400,0.14444992941030474,1.1914309576161473,0.5406698564593302
黄金ETF,25,500,0.15533503910163118,1.258720538773688,0.5409705648369133
黄金ETF,25,600,0.15533503910163118,1.258720538773688,0.5409705648369133
黄金ETF,25,800,0.12505033226007692,0.9408343866875719,0.5387658227848101
黄金ETF,25,1000,0.12505033226007692,0.9408343866875719,0.5387658227848101
黄金ETF,25,None,0.12505033226007692,0.9408343866875719,0.5387658227848101
黄金ETF,30,300,0.17631016588975978,1.44678512809037,0.5401574803149606
黄金ETF,30,400,0.1689082400411841,1.3505273438008003,0.5396078431372549
黄金ETF,30,500,0.1452730386833304,1.0874812592845755,0.53828125
黄金ETF,30,600,0.13862353319962986,1.0308860187383257,0.5374414976599063
黄金ETF,30,800,0.13862353319962986,1.0308860187383257,0.5374414976599063
黄金ETF,30,1000,0.13862353319962986,1.0308860187383257,0.5374414976599063
黄金ETF,30,None,0.13862353319962986,1.0308860187383257,0.5374414976599063
科创板,20,300,0.31609151107319106,1.2692879539925548,0.5687203791469194
科创板,20,400,0.2761645105245673,1.084453867250341,0.5545851528384279
科创板,20,500,0.30713660785158464,1.1849433455158698,0.5578512396694215
科创板,20,600,0.32534793694390146,1.2488104365997972,0.5609756097560976
科创板,20,800,0.26588900597524745,0.9964466399419674,0.55078125
科创板,20,1000,0.2927923548532921,1.0895271178077497,0.5478927203065134
科创板,20,None,0.21825896453854488,0.7310762669763015,0.5422535211267606
科创板,25,300,0.2980010618330323,1.2207372515906827,0.5520361990950227
科创板,25,400,0.35172518409832737,1.4032172606310316,0.5606694560669456
科创板,25,500,0.36730194994811205,1.4306799953838565,0.5582329317269076
科创板,25,600,0.263325834982805,0.9555907932888845,0.5490196078431373
科创板,25,800,0.2854385953050051,1.0187518129284432,0.5509433962264151
科创板,25,1000,0.2845840069803047,1.0053184281542278,0.5461254612546126
科创板,25,None,0.25802432253569696,0.8724284424293708,0.5397923875432526
科创板,30,300,0.1807527610034277,0.794880601228165,0.5497835497835498
科创板,30,400,0.2062089521195412,0.8901204395265933,0.5510204081632653
科创板,30,500,0.22864324347114773,0.9579062215707831,0.555984555984556
科创板,30,600,0.2552521378135044,1.042355601096655,0.5547169811320755
科创板,30,800,0.2311479605605699,0.9146550899483875,0.5428571428571428
科创板,30,1000,0.20178726600650515,0.7858681198080916,0.5409252669039146
科创板,30,None,0.21483877533403656,0.8056954404125701,0.5405405405405406
