trend_window,d_threshold,r2_threshold,ema_window,m,M,r,k1,k2,r2_floor,mean_ann_ret,win_rate,total_trades
60,0.001,0.5,30,0.5,5,3,2.0,3.0,0.3,0.0060353154106565065,0.4225352112676056,71
40,0.003,0.6,20,0.5,10,3,2.0,2.0,0.3,0.00592071344795105,0.4117647058823529,68
40,0.003,0.6,30,0.5,10,3,2.0,3.0,0.4,0.005748055456292435,0.38461538461538464,26
40,0.001,0.6,20,1.0,5,3,2.0,2.0,0.4,0.005745828414334415,0.38461538461538464,26
40,0.003,0.6,30,0.5,10,3,2.0,2.5,0.4,0.005719361553295148,0.4230769230769231,26
60,0.001,0.5,20,0.5,10,3,2.0,2.0,0.4,0.005656075085970398,0.4084507042253521,142
60,0.001,0.6,30,1.0,10,3,2.0,3.0,0.3,0.005558847553558708,0.44,25
40,0.001,0.5,30,0.5,5,3,2.0,2.0,0.4,0.005427552344649287,0.4,45
40,0.003,0.6,20,1.0,5,3,2.0,3.0,0.4,0.0053979888815526905,0.55,20
60,0.001,0.6,30,0.5,5,3,2.0,3.0,0.3,0.0053086899586988695,0.42857142857142855,56
40,0.003,0.6,20,1.0,10,3,2.0,3.0,0.3,0.005294233804115089,0.5,24
60,0.001,0.6,30,1.0,10,3,2.0,3.0,0.4,0.005277798710696373,0.4,25
40,0.003,0.6,20,1.0,5,3,2.0,2.0,0.4,0.005265324913724568,0.4,20
40,0.003,0.5,20,0.5,10,3,2.0,2.0,0.3,0.005258146478516535,0.3855421686746988,83
40,0.003,0.5,20,1.0,5,3,2.0,3.0,0.4,0.005248242060976664,0.5,26
40,0.003,0.6,30,0.5,5,3,2.0,2.5,0.4,0.005236096301029441,0.4,20
40,0.003,0.5,20,1.0,5,3,2.0,2.0,0.4,0.005115671054005838,0.38461538461538464,26
40,0.001,0.6,20,1.0,10,3,2.0,2.0,0.4,0.005100337572489511,0.40625,32
60,0.001,0.6,30,1.0,10,3,2.0,2.5,0.4,0.0050324839661067084,0.36,25
40,0.003,0.6,30,0.5,5,3,2.0,3.0,0.4,0.004997280090448901,0.4,20
40,0.001,0.6,20,1.0,5,3,2.0,3.0,0.3,0.004935008588045606,0.5,26
40,0.003,0.6,20,1.0,5,3,2.0,2.5,0.4,0.0049302305808731255,0.5,20
40,0.001,0.6,20,1.0,5,3,2.0,2.5,0.3,0.004793320569506876,0.5,26
40,0.003,0.5,20,1.0,5,3,2.0,2.5,0.4,0.00478088800847228,0.46153846153846156,26
40,0.001,0.6,30,0.5,5,3,2.0,2.0,0.4,0.004653499672483161,0.4444444444444444,27
60,0.001,0.5,30,1.0,10,3,2.0,3.0,0.3,0.0044959824402993126,0.40540540540540543,37
40,0.003,0.5,20,1.0,10,3,2.0,3.0,0.3,0.004484690178667792,0.43333333333333335,30
60,0.001,0.6,30,0.5,5,3,2.0,3.0,0.4,0.0044746664525075535,0.42857142857142855,56
40,0.001,0.5,20,1.0,10,3,2.0,2.0,0.3,0.004425807630111639,0.41025641025641024,39
40,0.001,0.5,20,1.0,5,3,2.0,2.0,0.3,0.004409474893266017,0.4,35
40,0.001,0.6,30,0.5,10,3,2.0,2.0,0.4,0.004318376176765942,0.45714285714285713,35
40,0.003,0.6,20,1.0,10,3,2.0,2.5,0.3,0.004314492703384798,0.4583333333333333,24
40,0.001,0.5,30,0.5,5,3,2.0,2.0,0.3,0.004277327395563474,0.4222222222222222,45
40,0.003,0.5,30,0.5,5,3,2.0,2.5,0.4,0.004236986278527693,0.3225806451612903,31
60,0.001,0.5,20,0.5,10,3,2.0,2.0,0.3,0.004233419328617131,0.4014084507042254,142
40,0.003,0.6,30,0.5,5,3,2.0,2.0,0.3,0.004121194764463043,0.4,20
40,0.001,0.5,30,1.0,10,3,2.0,3.0,0.4,0.004068869063694525,0.5714285714285714,14
40,0.001,0.6,30,0.5,5,3,2.0,2.0,0.3,0.0040245481965403875,0.4444444444444444,27
40,0.003,0.5,30,0.5,5,3,2.0,3.0,0.4,0.004001187289309242,0.3225806451612903,31
60,0.001,0.6,30,1.0,10,3,2.0,2.5,0.3,0.0038527830335520763,0.36,25
60,0.001,0.5,30,0.5,5,3,2.0,3.0,0.4,0.003822448074602463,0.43661971830985913,71
40,0.003,0.6,30,0.5,5,3,2.0,2.0,0.4,0.0038096005804275266,0.4,20
40,0.003,0.5,30,0.5,10,3,2.0,3.0,0.4,0.0037840647661805146,0.3076923076923077,39
40,0.003,0.5,30,0.5,10,3,2.0,2.5,0.4,0.0037598455203676404,0.3333333333333333,39
40,0.003,0.6,20,1.0,10,3,2.0,2.0,0.4,0.0037398908751768247,0.375,24
60,0.001,0.6,20,0.5,10,3,2.0,2.0,0.4,0.0037124137080138337,0.38333333333333336,120
40,0.003,0.6,20,1.0,5,3,2.0,3.0,0.3,0.003702699380291663,0.5,20
40,0.001,0.6,30,0.5,10,3,2.0,2.0,0.3,0.003699092889686506,0.45714285714285713,35
40,0.001,0.6,20,1.0,5,3,2.0,2.0,0.3,0.003596505905945525,0.34615384615384615,26
40,0.003,0.5,20,1.0,10,3,2.0,2.0,0.4,0.0035905081728835452,0.36666666666666664,30
40,0.001,0.6,30,1.0,10,3,2.0,3.0,0.4,0.0035353908724906503,0.5555555555555556,9
40,0.001,0.5,30,1.0,10,3,2.0,2.5,0.4,0.003518525230514028,0.5714285714285714,14
40,0.003,0.5,20,1.0,10,3,2.0,2.5,0.3,0.003506611734871249,0.4,30
40,0.001,0.5,30,0.5,10,3,2.0,2.0,0.4,0.0035057452568869854,0.38181818181818183,55
40,0.001,0.5,30,1.0,5,3,2.0,2.0,0.4,0.0034875070816188978,0.5454545454545454,11
60,0.001,0.5,20,1.0,5,3,2.0,3.0,0.3,0.0034699432574943284,0.3898305084745763,59
40,0.003,0.5,30,1.0,10,3,2.0,3.0,0.4,0.003465052021915802,0.5454545454545454,11
60,0.001,0.6,20,0.5,5,3,2.0,3.0,0.3,0.00343874104641442,0.40860215053763443,93
40,0.001,0.6,30,1.0,10,3,2.0,3.0,0.3,0.0033709994054151623,0.5555555555555556,9
60,0.003,0.5,20,0.5,10,3,2.0,3.0,0.4,0.0033309661967809217,0.3855421686746988,83
40,0.001,0.5,30,1.0,10,3,2.0,2.0,0.4,0.0033278203123397157,0.5,14
40,0.001,0.5,30,1.0,10,3,2.0,3.0,0.3,0.003244775352437501,0.5,14
60,0.001,0.5,30,1.0,10,3,2.0,2.5,0.3,0.0032090161185625516,0.35135135135135137,37
40,0.001,0.5,30,1.0,5,3,2.0,2.5,0.4,0.003141838150263143,0.5454545454545454,11
40,0.003,0.6,20,1.0,5,3,2.0,2.0,0.3,0.0031157614187334007,0.35,20
40,0.003,0.6,30,1.0,10,3,2.0,3.0,0.4,0.003110514775438827,0.5,8
40,0.003,0.6,20,1.0,5,3,2.0,2.5,0.3,0.0030549036867679367,0.45,20
40,0.003,0.5,30,1.0,5,3,2.0,2.0,0.4,0.0030506589831620604,0.5555555555555556,9
60,0.001,0.5,30,1.0,10,3,2.0,2.5,0.4,0.0030447546859380978,0.35135135135135137,37
40,0.001,0.6,30,1.0,10,3,2.0,2.5,0.4,0.002986519857843311,0.5555555555555556,9
40,0.003,0.5,30,1.0,5,3,2.0,2.5,0.4,0.0029617836610994364,0.5555555555555556,9
40,0.001,0.6,20,1.0,10,3,2.0,2.0,0.3,0.002950760516733141,0.375,32
40,0.003,0.6,30,1.0,10,3,2.0,3.0,0.3,0.0029459840731228043,0.5,8
60,0.001,0.5,20,1.0,5,3,2.0,3.0,0.4,0.0029360800756996885,0.4067796610169492,59
40,0.001,0.6,30,1.0,10,3,2.0,2.5,0.3,0.0029344623528015676,0.5555555555555556,9
40,0.003,0.5,30,1.0,10,3,2.0,2.5,0.4,0.0029147081887353054,0.5454545454545454,11
40,0.003,0.5,20,1.0,5,3,2.0,3.0,0.3,0.0028976478619634114,0.4230769230769231,26
40,0.001,0.5,30,1.0,5,3,2.0,2.0,0.3,0.002860881526071989,0.45454545454545453,11
60,0.001,0.5,30,1.0,10,3,2.0,3.0,0.4,0.002850837640607747,0.40540540540540543,37
40,0.001,0.5,30,1.0,10,3,2.0,2.5,0.3,0.0028030302242294403,0.5,14
60,0.001,0.6,20,0.5,5,3,2.0,3.0,0.4,0.002790587079207849,0.3978494623655914,93
40,0.003,0.6,30,1.0,5,3,2.0,2.0,0.3,0.002733743326044813,0.5,6
40,0.001,0.6,30,1.0,5,3,2.0,2.0,0.3,0.002733743326044813,0.5,6
40,0.001,0.5,30,1.0,10,3,2.0,2.0,0.3,0.0027029931009680233,0.42857142857142855,14
40,0.001,0.6,30,1.0,5,3,2.0,2.0,0.4,0.0026974180101928657,0.5,6
40,0.003,0.6,30,1.0,5,3,2.0,2.0,0.4,0.0026974180101928657,0.5,6
40,0.003,0.5,30,0.5,5,3,2.0,2.0,0.4,0.0026803323482125834,0.3225806451612903,31
40,0.001,0.5,30,1.0,5,3,2.0,3.0,0.4,0.0026629012667347776,0.5454545454545454,11
40,0.003,0.5,30,1.0,10,3,2.0,3.0,0.3,0.0026409146442165016,0.45454545454545453,11
40,0.001,0.6,30,1.0,5,3,2.0,2.5,0.4,0.0026085426881302417,0.5,6
40,0.003,0.6,30,1.0,5,3,2.0,2.5,0.4,0.0026085426881302417,0.5,6
60,0.001,0.5,20,1.0,10,3,2.0,2.5,0.3,0.0025923699873406183,0.38666666666666666,75
40,0.001,0.6,30,1.0,10,3,2.0,2.0,0.3,0.002576249368384754,0.4444444444444444,9
40,0.003,0.6,30,1.0,10,3,2.0,2.5,0.4,0.0025616437607914877,0.5,8
60,0.001,0.6,20,1.0,10,3,2.0,2.5,0.4,0.0025588262163770293,0.4,60
40,0.001,0.6,30,1.0,5,3,2.0,2.5,0.3,0.0025560821575700463,0.5,6
40,0.003,0.6,30,1.0,5,3,2.0,2.5,0.3,0.0025560821575700463,0.5,6
40,0.001,0.6,30,1.0,10,3,2.0,2.0,0.4,0.0025397848172922727,0.4444444444444444,9
40,0.003,0.6,30,1.0,10,3,2.0,2.5,0.3,0.0025094470205092095,0.5,8
40,0.003,0.5,30,1.0,5,3,2.0,3.0,0.4,0.002482846777571071,0.5555555555555556,9
60,0.003,0.5,20,0.5,10,3,2.0,3.0,0.3,0.002476956617303652,0.37349397590361444,83
40,0.003,0.5,30,1.0,10,3,2.0,2.0,0.4,0.0024672096612678627,0.45454545454545453,11
40,0.001,0.5,30,1.0,5,3,2.0,2.5,0.3,0.002426442469015355,0.45454545454545453,11
60,0.001,0.5,20,0.5,5,3,2.0,2.5,0.3,0.0024250388726097714,0.40869565217391307,115
40,0.003,0.5,30,1.0,5,3,2.0,2.0,0.3,0.0024241286314961525,0.4444444444444444,9
60,0.001,0.6,20,0.5,10,3,2.0,2.0,0.3,0.0024035582077795744,0.375,120
40,0.003,0.5,20,1.0,5,3,2.0,2.0,0.3,0.0023417260447007563,0.3076923076923077,26
40,0.003,0.5,30,0.5,5,3,2.0,2.0,0.3,0.0022665702172432528,0.3225806451612903,31
40,0.003,0.5,20,1.0,5,3,2.0,2.5,0.3,0.0022469767783716626,0.38461538461538464,26
40,0.003,0.5,30,1.0,5,3,2.0,2.5,0.3,0.0022464831837326494,0.4444444444444444,9
40,0.003,0.5,30,1.0,10,3,2.0,2.5,0.3,0.0021991695160084404,0.45454545454545453,11
40,0.001,0.5,30,0.5,10,3,2.0,2.0,0.3,0.002178232263481017,0.4,55
40,0.003,0.6,30,1.0,10,3,2.0,2.0,0.3,0.0021512340360923966,0.375,8
40,0.003,0.6,30,1.0,5,3,2.0,3.0,0.4,0.002129605804601876,0.5,6
40,0.001,0.6,30,1.0,5,3,2.0,3.0,0.4,0.002129605804601876,0.5,6
40,0.003,0.6,30,1.0,10,3,2.0,2.0,0.4,0.0021149087202404493,0.375,8
40,0.001,0.6,30,1.0,5,3,2.0,3.0,0.3,0.0020771452740416807,0.5,6
40,0.003,0.6,30,1.0,5,3,2.0,3.0,0.3,0.0020771452740416807,0.5,6
60,0.001,0.5,20,0.5,5,3,2.0,2.5,0.4,0.002017056316546584,0.40869565217391307,115
60,0.001,0.5,20,1.0,10,3,2.0,2.5,0.4,0.0020029582617495287,0.4,75
60,0.003,0.6,30,0.5,10,3,2.0,3.0,0.4,0.0019834453625839294,0.34782608695652173,46
60,0.001,0.6,20,1.0,10,3,2.0,2.5,0.3,0.0019826926889728006,0.38333333333333336,60
40,0.001,0.5,30,1.0,5,3,2.0,3.0,0.3,0.0019553495167019294,0.45454545454545453,11
40,0.003,0.6,30,0.5,10,3,2.0,2.0,0.3,0.0019165760594599278,0.38461538461538464,26
60,0.001,0.6,30,0.5,5,3,2.0,2.5,0.4,0.0018648306814334553,0.4107142857142857,56
40,0.003,0.5,30,1.0,10,3,2.0,2.0,0.3,0.0018423387834538933,0.36363636363636365,11
40,0.003,0.5,30,1.0,5,3,2.0,3.0,0.3,0.0017753902314192234,0.4444444444444444,9
60,0.003,0.6,30,0.5,10,3,2.0,3.0,0.3,0.001740731688076252,0.32608695652173914,46
60,0.001,0.5,30,0.5,5,3,2.0,2.5,0.3,0.0016587188763008192,0.39436619718309857,71
40,0.003,0.6,30,0.5,10,3,2.0,2.0,0.4,0.0016053759481867837,0.38461538461538464,26
40,0.003,0.6,20,1.0,10,3,2.0,2.0,0.3,0.0015899333074232845,0.3333333333333333,24
60,0.001,0.5,30,0.5,5,3,2.0,2.5,0.4,0.0014252427730520292,0.4084507042253521,71
60,0.001,0.6,30,1.0,5,3,2.0,3.0,0.3,0.0009670642542247329,0.4090909090909091,22
60,0.003,0.6,30,1.0,10,3,2.0,3.0,0.4,0.0009436682895141867,0.3333333333333333,18
60,0.003,0.5,20,1.0,10,3,2.0,3.0,0.4,0.0008520608813440288,0.35294117647058826,51
60,0.001,0.6,30,1.0,5,3,2.0,3.0,0.4,0.0008334419748335807,0.36363636363636365,22
40,0.003,0.5,20,1.0,10,3,2.0,2.0,0.3,0.0008174153928667641,0.3,30
60,0.003,0.6,20,0.5,10,3,2.0,3.0,0.4,0.00081292487598862,0.36363636363636365,77
60,0.003,0.6,30,1.0,10,3,2.0,2.5,0.4,0.0007591350019051893,0.2777777777777778,18
60,0.001,0.6,30,0.5,5,3,2.0,2.5,0.3,0.0007475634460827453,0.39285714285714285,56
60,0.001,0.5,30,0.5,10,3,2.0,2.0,0.4,0.0006979080280639834,0.4186046511627907,86
60,0.003,0.5,20,0.5,10,3,2.0,2.0,0.4,0.0006427525569698093,0.36363636363636365,99
60,0.003,0.6,20,0.5,10,3,2.0,2.0,0.4,0.000607790770136322,0.3333333333333333,87
60,0.001,0.6,30,1.0,5,3,2.0,2.5,0.4,0.0005742805237252248,0.3181818181818182,22
60,0.003,0.6,20,0.5,10,3,2.0,2.5,0.4,0.0005443475762462427,0.38271604938271603,81
60,0.003,0.5,20,0.5,10,3,2.0,2.5,0.4,0.0005257245874322623,0.3888888888888889,90
60,0.001,0.6,20,0.5,5,3,2.0,2.5,0.4,0.0005075693409023227,0.3979591836734694,98
60,0.003,0.5,20,0.5,10,3,2.0,2.5,0.3,0.0004985939341357727,0.37777777777777777,90
60,0.003,0.6,20,1.0,10,3,2.0,3.0,0.4,0.0002799194748170919,0.3409090909090909,44
60,0.003,0.6,20,0.5,10,3,2.0,3.0,0.3,0.0002457149161135695,0.35064935064935066,77
60,0.003,0.5,30,0.5,10,3,2.0,3.0,0.3,0.00018587345476322396,0.3333333333333333,54
60,0.003,0.6,30,1.0,10,3,2.0,2.5,0.3,3.7835096861813274e-05,0.2777777777777778,18
60,0.003,0.6,30,1.0,10,3,2.0,3.0,0.3,2.493346335969488e-05,0.3333333333333333,18
60,0.001,0.5,30,1.0,5,3,2.0,3.0,0.3,-2.828815799037364e-05,0.36363636363636365,33
60,0.001,0.6,20,1.0,5,3,2.0,3.0,0.4,-6.643008757655099e-05,0.3829787234042553,47
60,0.003,0.5,30,0.5,10,3,2.0,3.0,0.4,-0.00022363554159549666,0.35185185185185186,54
